"Property Address","Parcel Number","Inspection Date","Grade","License Status","Expiration Date","Latitude","Longitude","georeference"
"2503 North Skyline Drive","912,103,102,004","2025 Oct 06 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.13907418","-88.18163911","POINT (-88.18163911 40.13907418)"
"2412 North Somerset Drive","912,103,126,029","2025 Aug 05 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.13842452","-88.1742435","POINT (-88.1742435 40.13842452)"
"2412 North Somerset Drive","912,103,126,029","2021 Oct 29 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.13842452","-88.1742435","POINT (-88.1742435 40.13842452)"
"2409 North Brownfield Road","912,103,127,012","2025 Aug 12 12:00:00 AM","Class B","Issued","10/14/2026","40.138054","-88.17375","POINT (-88.17375 40.138054)"
"1908 North Willow Road","912,104,351,002","2022 Jan 21 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1307258","-88.20031526","POINT (-88.20031526 40.1307258)"
"1908 North Willow Road","912,104,351,002","2025 Aug 27 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.1307258","-88.20031526","POINT (-88.20031526 40.1307258)"
"1902 Willow Road","912,104,351,004","2010 May 21 12:00:00 AM","Class B","Issued",,"40.1305","-88.2007","POINT (-88.2007 40.1305)"
"1902 North Willow Road","912,104,351,004","2022 Aug 05 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.13025924","-88.20033315","POINT (-88.20033315 40.13025924)"
"1808 North Willow Road","912,104,351,005","2025 Sep 24 12:00:00 AM","Class B","Issued","10/14/2026","40.12989514","-88.19974075","POINT (-88.19974075 40.12989514)"
"1710 North Willow Road","912,104,351,009","2025 Sep 24 12:00:00 AM","Class B","Issued","10/14/2026","40.12919377","-88.20002857","POINT (-88.20002857 40.12919377)"
"1708 North Willow Road","912,104,351,010","2025 Sep 24 12:00:00 AM","Class B","Issued","10/14/2026","40.1290004","-88.20005304","POINT (-88.20005304 40.1290004)"
"1704 North Willow Road","912,104,351,031","2022 Jul 19 12:00:00 AM","Class B","Temporarily Not a Rental","10/14/2024","40.12884","-88.20026","POINT (-88.20026 40.12884)"
"1911 North Willow Road","912,105,477,003","2022 Jul 20 12:00:00 AM","Class B","Issued","10/14/2026","40.13124466","-88.20093242","POINT (-88.20093242 40.13124466)"
"1911 North Willow Road","912,105,477,003","2025 Sep 03 12:00:00 AM","Class B","Issued","10/14/2026","40.13124466","-88.20093242","POINT (-88.20093242 40.13124466)"
"1806 North Golfview Drive","912,105,477,008","2025 Sep 03 12:00:00 AM","Class B","Issued","10/14/2026","40.12992486","-88.20144183","POINT (-88.20144183 40.12992486)"
"1601 North Willow Road","912,105,477,028","2022 Apr 06 12:00:00 AM","Class D","Pending Renewal","10/14/2025","40.12789074","-88.20116687","POINT (-88.20116687 40.12789074)"
"1601 Willow Road","912,105,477,028","2007 Oct 19 12:00:00 AM","Class B","Issued",,"40.1276","-88.201","POINT (-88.201 40.1276)"
"1709 Willow Court","912,105,477,030","2010 Jul 27 12:00:00 AM","Class B","Issued","10/14/2026","40.1292","-88.2013","POINT (-88.2013 40.1292)"
"1709 North Willow Court","912,105,477,030","2025 Oct 20 12:00:00 AM","Class B","Issued","10/14/2026","40.12913885","-88.2012748","POINT (-88.2012748 40.12913885)"
"1707 Willow Court","912,105,477,031","2010 Jul 13 12:00:00 AM","Class A","Issued","10/14/2026","40.129","-88.2014","POINT (-88.2014 40.129)"
"1705 Willow Court","912,105,477,032","2010 Jul 13 12:00:00 AM","Class A","Issued",,"40.1288","-88.2014","POINT (-88.2014 40.1288)"
"1703 Willow Court","912,105,477,033","2010 Jul 13 12:00:00 AM","Class A","Issued",,"40.1287","-88.2012","POINT (-88.2012 40.1287)"
"1906 North Golfview Drive","912,105,477,035","2025 Sep 03 12:00:00 AM","Class B","Issued","10/14/2026","40.13095515","-88.20143349","POINT (-88.20143349 40.13095515)"
"1901 North Lincoln Avenue Apt 103","912,106,477,003","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.129456","-88.220085","POINT (-88.220085 40.129456)"
"1901 North Lincoln Avenue Apt 104","912,106,477,004","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12945624","-88.22017184","POINT (-88.22017184 40.12945624)"
"1901 North Lincoln Avenue Apt 105","912,106,477,005","2022 Jun 01 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.12955939","-88.22008543","POINT (-88.22008543 40.12955939)"
"1901 North Lincoln Avenue Apt 106","912,106,477,006","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12955856","-88.22017419","POINT (-88.22017419 40.12955856)"
"1901 North Lincoln Avenue Apt 107","912,106,477,007","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12968286","-88.2200877","POINT (-88.2200877 40.12968286)"
"1901 North Lincoln Avenue Apt 108","912,106,477,008","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12968","-88.22018","POINT (-88.22018 40.12968)"
"1901 North Lincoln Avenue Apt 115","912,106,477,011","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13022195","-88.22009786","POINT (-88.22009786 40.13022195)"
"1901 North Lincoln Avenue Apt 118","912,106,477,014","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.130325","-88.22019","POINT (-88.22019 40.130325)"
"1901 North Lincoln Avenue Apt 202","912,106,477,018","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12932252","-88.22020328","POINT (-88.22020328 40.12932252)"
"1901 North Lincoln Avenue Apt 204","912,106,477,020","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12945624","-88.22017184","POINT (-88.22017184 40.12945624)"
"1901 North Lincoln Avenue Apt 205","912,106,477,021","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12956","-88.220085","POINT (-88.220085 40.12956)"
"1901 North Lincoln Avenue Apt 208","912,106,477,024","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.1296815","-88.22017722","POINT (-88.22017722 40.1296815)"
"1901 North Lincoln Avenue Apt 210","912,106,477,026","2022 Jun 01 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.129818","-88.220184","POINT (-88.220184 40.129818)"
"1901 North Lincoln Avenue Apt 212","912,106,477,028","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12996884","-88.22018414","POINT (-88.22018414 40.12996884)"
"1901 North Lincoln Avenue Apt 214","912,106,477,030","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13009795","-88.22018507","POINT (-88.22018507 40.13009795)"
"1901 North Lincoln Avenue Apt 216","912,106,477,032","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13022143","-88.22018662","POINT (-88.22018662 40.13022143)"
"1901 North Lincoln Avenue Apt 217","912,106,477,033","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.130325","-88.2201","POINT (-88.2201 40.130325)"
"1901 North Lincoln Avenue Apt 219","912,106,477,035","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13045789","-88.22006739","POINT (-88.22006739 40.13045789)"
"1901 North Lincoln Avenue Apt 220","912,106,477,036","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.13045739","-88.22019426","POINT (-88.22019426 40.13045739)"
"1901 North Lincoln Avenue Apt 301","912,106,477,037","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12932346","-88.22007641","POINT (-88.22007641 40.12932346)"
"1901 North Lincoln Avenue Apt 302","912,106,477,038","2022 Jun 01 12:00:00 AM","Class B","Temporarily Not a Rental","10/14/2024","40.12932252","-88.22020328","POINT (-88.22020328 40.12932252)"
"1901 North Lincoln Avenue Apt 304","912,106,477,040","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12945624","-88.22017184","POINT (-88.22017184 40.12945624)"
"1901 North Lincoln Avenue Apt 305","912,106,477,041","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12955939","-88.22008543","POINT (-88.22008543 40.12955939)"
"1901 North Lincoln Avenue Apt 306","912,106,477,042","2022 Jun 01 12:00:00 AM","Class B","Issued","10/14/2026","40.12955856","-88.22017419","POINT (-88.22017419 40.12955856)"
